zip_code,year,walkability_category,active_license_count,category_weight
60601,2000,community_and_entertainment,3,6
60601,2000,fresh_food_and_daily_needs,3,9
60601,2000,personal_and_health_services,1,2
60601,2000,restaurants_and_social_life,6,18
60601,2000,uncategorized,46,0
60601,2001,community_and_entertainment,9,18
60601,2001,fresh_food_and_daily_needs,59,177
60601,2001,home_based_or_non_storefront,1,0
60601,2001,industrial_or_logistics,1,-2
60601,2001,local_retail_and_commercial_services,6,6
60601,2001,personal_and_health_services,5,10
60601,2001,restaurants_and_social_life,18,54
60601,2001,uncategorized,163,0
60601,2002,auto_oriented,6,-18
60601,2002,community_and_entertainment,39,78
60601,2002,fresh_food_and_daily_needs,385,1155
60601,2002,home_based_or_non_storefront,21,0
60601,2002,industrial_or_logistics,5,-10
60601,2002,local_retail_and_commercial_services,31,31
60601,2002,personal_and_health_services,23,46
60601,2002,restaurants_and_social_life,258,774
60601,2002,uncategorized,793,0
60601,2003,auto_oriented,10,-30
60601,2003,community_and_entertainment,57,114
60601,2003,fresh_food_and_daily_needs,603,1809
60601,2003,home_based_or_non_storefront,47,0
60601,2003,industrial_or_logistics,8,-16
60601,2003,local_retail_and_commercial_services,41,41
60601,2003,personal_and_health_services,41,82
60601,2003,restaurants_and_social_life,400,1200
60601,2003,uncategorized,1269,0
60601,2004,auto_oriented,10,-30
60601,2004,community_and_entertainment,67,134
60601,2004,fresh_food_and_daily_needs,641,1923
60601,2004,home_based_or_non_storefront,54,0
60601,2004,industrial_or_logistics,5,-10
60601,2004,local_retail_and_commercial_services,37,37
60601,2004,personal_and_health_services,43,86
60601,2004,restaurants_and_social_life,331,993
60601,2004,uncategorized,1275,0
60601,2005,auto_oriented,16,-48
60601,2005,community_and_entertainment,80,160
60601,2005,fresh_food_and_daily_needs,578,1734
60601,2005,home_based_or_non_storefront,59,0
60601,2005,industrial_or_logistics,4,-8
60601,2005,local_retail_and_commercial_services,36,36
60601,2005,personal_and_health_services,32,64
60601,2005,restaurants_and_social_life,328,984
60601,2005,uncategorized,1425,0
60601,2006,auto_oriented,17,-51
60601,2006,community_and_entertainment,73,146
60601,2006,fresh_food_and_daily_needs,556,1668
60601,2006,home_based_or_non_storefront,90,0
60601,2006,industrial_or_logistics,4,-8
60601,2006,local_retail_and_commercial_services,32,32
60601,2006,personal_and_health_services,38,76
60601,2006,restaurants_and_social_life,333,999
60601,2006,uncategorized,1478,0
60601,2007,auto_oriented,13,-39
60601,2007,community_and_entertainment,65,130
60601,2007,fresh_food_and_daily_needs,542,1626
60601,2007,home_based_or_non_storefront,90,0
60601,2007,industrial_or_logistics,3,-6
60601,2007,local_retail_and_commercial_services,33,33
60601,2007,personal_and_health_services,43,86
60601,2007,restaurants_and_social_life,330,990
60601,2007,uncategorized,1496,0
60601,2008,auto_oriented,12,-36
60601,2008,community_and_entertainment,79,158
60601,2008,fresh_food_and_daily_needs,506,1518
60601,2008,home_based_or_non_storefront,95,0
60601,2008,industrial_or_logistics,6,-12
60601,2008,local_retail_and_commercial_services,35,35
60601,2008,personal_and_health_services,49,98
60601,2008,restaurants_and_social_life,290,870
60601,2008,uncategorized,1910,0
60601,2009,auto_oriented,9,-27
60601,2009,community_and_entertainment,71,142
60601,2009,fresh_food_and_daily_needs,344,1032
60601,2009,home_based_or_non_storefront,54,0
60601,2009,industrial_or_logistics,3,-6
60601,2009,local_retail_and_commercial_services,20,20
60601,2009,personal_and_health_services,36,72
60601,2009,restaurants_and_social_life,235,705
60601,2009,uncategorized,1160,0
