zip_code,year,period_start_year,period_end_year,years_in_period,land_area_sqmi,active_license_count,active_license_density_per_sqmi,positive_storefront_count,positive_storefront_density_per_sqmi,positive_weight,positive_weight_density_per_sqmi,negative_weight,negative_weight_density_per_sqmi,net_weight,net_weight_density_per_sqmi,mix_balance,destination_intensity,walkability_score
60601,2002,2002,2003,2,0.389,2018.5,5188.946,1132.5,2911.311,3017.5,7757.069,65.5,168.38,2952.0,7588.689,0.979,1.0,98.7
60601,2004,2004,2005,2,0.389,2510.5,6453.728,1333.0,3426.735,3530.5,9075.835,73.0,187.661,3457.5,8888.175,0.98,1.0,98.8
60601,2006,2006,2007,2,0.389,2618.0,6730.077,1272.0,3269.923,3361.5,8641.388,89.0,228.792,3272.5,8412.596,0.974,1.0,98.5
60601,2008,2008,2009,2,0.389,2457.0,6316.195,1079.5,2775.064,2798.0,7192.802,94.0,241.645,2704.0,6951.157,0.967,1.0,98.0
60601,2010,2010,2011,2,0.389,2461.5,6327.763,1133.0,2912.596,2956.0,7598.972,113.0,290.488,2843.0,7308.483,0.963,1.0,97.8
60601,2012,2012,2013,2,0.389,2372.5,6098.972,1158.5,2978.149,3010.5,7739.075,192.0,493.573,2818.5,7245.501,0.94,1.0,96.4
60601,2014,2014,2015,2,0.389,2119.5,5448.586,1246.5,3204.37,3114.5,8006.427,190.0,488.432,2924.5,7517.995,0.943,1.0,96.6
60601,2016,2016,2017,2,0.389,2089.0,5370.18,1373.0,3529.563,3319.5,8533.419,189.0,485.861,3130.5,8047.558,0.946,1.0,96.8
60601,2018,2018,2019,2,0.389,2064.0,5305.913,1427.0,3668.38,3455.0,8881.748,209.0,537.275,3246.0,8344.473,0.943,1.0,96.6
60601,2020,2020,2021,2,0.389,1921.5,4939.589,1367.0,3514.139,3276.5,8422.879,153.0,393.316,3123.5,8029.563,0.955,1.0,97.3
60601,2022,2022,2023,2,0.389,1713.0,4403.599,1256.5,3230.077,3056.5,7857.326,145.5,374.036,2911.0,7483.29,0.955,1.0,97.3
60601,2024,2024,2025,2,0.389,1587.5,4080.977,1180.5,3034.704,2945.5,7571.979,155.0,398.458,2790.5,7173.522,0.95,1.0,97.0
60602,2002,2002,2003,2,0.082,1058.0,12902.439,538.0,6560.976,1189.5,14506.098,25.0,304.878,1164.5,14201.22,0.979,1.0,98.8
60602,2004,2004,2005,2,0.082,1422.0,17341.463,691.0,8426.829,1523.5,18579.268,34.0,414.634,1489.5,18164.634,0.978,1.0,98.7
60602,2006,2006,2007,2,0.082,1555.5,18969.512,723.5,8823.171,1610.0,19634.146,34.5,420.732,1575.5,19213.415,0.979,1.0,98.7
60602,2008,2008,2009,2,0.082,1387.0,16914.634,594.0,7243.902,1340.0,16341.463,36.5,445.122,1303.5,15896.341,0.973,1.0,98.4
60602,2010,2010,2011,2,0.082,1451.5,17701.22,609.5,7432.927,1400.5,17079.268,50.0,609.756,1350.5,16469.512,0.966,1.0,97.9
60602,2012,2012,2013,2,0.082,1392.5,16981.707,662.5,8079.268,1445.0,17621.951,91.5,1115.854,1353.5,16506.098,0.94,1.0,96.4
60602,2014,2014,2015,2,0.082,1290.5,15737.805,702.0,8560.976,1496.5,18250.0,88.5,1079.268,1408.0,17170.732,0.944,1.0,96.6
60602,2016,2016,2017,2,0.082,1176.5,14347.561,732.5,8932.927,1556.0,18975.61,71.0,865.854,1485.0,18109.756,0.956,1.0,97.4
60602,2018,2018,2019,2,0.082,1121.5,13676.829,733.5,8945.122,1546.5,18859.756,74.0,902.439,1472.5,17957.317,0.954,1.0,97.3
