area_number,community area name,shape_area,shape_len,Area-km2
"1",ROGERS PARK,"51259902.4506","34052.3975757",4.762
"2",WEST RIDGE,"98429094.8621","43020.6894583",9.144
"3",UPTOWN,"65095642.7289","46972.7945549",6.047
"4",LINCOLN SQUARE,"71352328.2399","36624.6030848",6.629
"5",NORTH CENTER,"57054167.85","31391.6697542",5.3
"6",LAKE VIEW,"87214799.2728","51973.0968677",8.102
"7",LINCOLN PARK,"88316400.4728","49478.4277714",8.205
"8",NEAR NORTH SIDE,"76675895.9728","57293.1649516",7.123
"9",EDISON PARK,"31636313.7864","25937.226841",2.939
"10",NORWOOD PARK,"121959105.47","80368.3743778",11.33
"11",JEFFERSON PARK,"64868161.6818","44011.9571704",6.026
"12",FOREST GLEN,"89130893.6364","74493.821604",8.281
"13",NORTH PARK,"70288706.4343","41581.9486539",6.53
"14",ALBANY PARK,"53542230.8191","39339.0164387",4.974
"15",PORTAGE PARK,"110196097.139","46520.6421377",10.238
"16",IRVING PARK,"89611382.3106","49083.2240938",8.325
"17",DUNNING,"103595001.175","54555.9925337",9.624
"18",MONTCLARE,"27576393.6325","22404.8521448",2.562
"19",BELMONT CRAGIN,"109099414.689","43311.707379",10.136
"20",HERMOSA,"32602059.4055","27179.0174378",3.029
"21",AVONDALE,"55290595.473","34261.9334038",5.137
"22",LOGAN SQUARE,"100057566.7","49213.4217488",9.296
"23",HUMBOLDT PARK,"100480876.502","48583.0643299",9.335
"24",WEST TOWN,"127562904.597","55203.7186956",11.851
"25",AUSTIN,"199254203.427","75226.4749167",18.511
"26",WEST GARFIELD PARK,"36092848.8151","26238.5419796",3.353
"27",EAST GARFIELD PARK,"53883220.8462","31514.6259565",5.006
"28",NEAR WEST SIDE,"158492466.554","53003.5929406",14.724
"29",NORTH LAWNDALE,"89487422.0242","44959.4596627",8.314
"30",SOUTH LAWNDALE,"127998297.867","49904.0452102",11.891
"31",LOWER WEST SIDE,"81550723.6377","43229.3727036",7.576
"32",LOOP,"46335565.4586","39428.6729962",4.305
"33",NEAR SOUTH SIDE,"49769639.4541","45053.1651038",4.624
"34",ARMOUR SQUARE,"27766196.0954","31948.5988398",2.579
"35",DOUGLAS,"46004621.1581","31027.0545098",4.274
"36",OAKLAND,"16913961.0408","19565.5061533",1.571
"37",FULLER PARK,"19916704.8692","25339.0897503",1.85
"38",GRAND BOULEVARD,"48492503.1554","28196.8371573",4.505
"39",KENWOOD,"29071741.9283","23325.1679062",2.701
"40",WASHINGTON PARK,"42373881.4842","28175.3160866",3.937
"41",HYDE PARK,"45105380.1732","29746.7082016",4.19
"42",WOODLAWN,"57815179.512","46936.9592443",5.371
"43",SOUTH SHORE,"81812716.3958","44249.6461173",7.6
"44",CHATHAM,"82320670.3112","42006.9450094",7.648
"45",AVALON PARK,"34852737.7366","27630.822534",3.238
"46",SOUTH CHICAGO,"93272185.0092","52435.9794313",8.665
"47",BURNSIDE,"16995983.2737","18137.9442529",1.579
"48",CALUMET HEIGHTS,"48826241.5643","32925.3658706",4.536
"49",ROSELAND,"134313706.73","56632.7954292",12.478
"50",PULLMAN,"59001555.602","35572.0695077",5.481
"51",SOUTH DEERING,"303797059.66","80389.8718002",28.222
"52",EAST SIDE,"83241728.0493","52274.1928493",7.733
"53",WEST PULLMAN,"99365198.0822","50023.8430008",9.231
"54",RIVERDALE,"98389497.4143","46455.4408571",9.14
"55",HEGEWISCH,"145965741.437","73692.3821322",13.56
"56",GARFIELD RIDGE,"117890778.429","60080.4479704",10.952
"57",ARCHER HEIGHTS,"55922505.7212","31880.0210295",5.195
"58",BRIGHTON PARK,"75892790.3114","36537.1343061",7.051
"59",MCKINLEY PARK,"39431799.6479","26014.0968371",3.663
"60",BRIDGEPORT,"58291519.2767","32732.7183268",5.415
"61",NEW CITY,"134636963.254","48133.595961",12.508
"62",WEST ELSDON,"32711091.4259","26229.6956007",3.039
"63",GAGE PARK,"61284896.1132","32294.1959107",5.693
"64",CLEARING,"71145192.3827","45363.2861749",6.61
"65",WEST LAWN,"82315301.6831","41934.4901309",7.647
"66",CHICAGO LAWN,"98279465.1151","40073.0998382",9.13
"67",WEST ENGLEWOOD,"87947691.9478","40195.2033069",8.17
"68",ENGLEWOOD,"85652323.0826","42316.8442973",7.957
"69",GREATER GRAND CROSSING,"98853167.7093","54645.3302996",9.183
"70",ASHBURN,"135460337.208","54818.1546317",12.585
"71",AUBURN GRESHAM,"105065353.602","46757.7217161",9.761
"72",BEVERLY,"88779363.9384","44591.4851009",8.248
"73",WASHINGTON HEIGHTS,"79635752.8769","42222.598163",7.398
"74",MOUNT GREENWOOD,"75584290.0209","48665.1305392",7.022
"75",MORGAN PARK,"91877340.6988","46396.419362",8.536
"76",OHARE,"371835607.687","173625.98466",34.545
"77",EDGEWATER,"48449990.8397","31004.8309456",4.501
