Geographic_Area_Name,zipCode,Total_2011,Total_2012,Total_2013,Total_2014,Total_2015,Total_2016,Total_2017,Total_2018,Total_2019,Total_2020,Total_2021,Total_2022,Total_2023,Total_2024
ZCTA5 01001,01001,7398,7418,7398,7372,7452,7482,7721,7769,7623,7093,7069,6908,7033,7140
ZCTA5 01002,01002,9943,9991,10076,10292,10483,10498,10927,10947,10965,11244,11301,10221,11089,11568
ZCTA5 01003,01003,13,17,16,16,29,26,43,60,79,85,84,91,85,73
ZCTA5 01005,01005,2124,2075,2235,2179,2164,2189,2093,2074,2156,2048,1983,1883,1876,2027
ZCTA5 01007,01007,5715,5709,5891,5886,5932,5903,5984,5925,5988,5966,6237,6587,6569,6309
ZCTA5 01008,01008,571,549,529,583,596,649,675,634,619,583,617,621,655,640
ZCTA5 01009,01009,351,320,352,344,230,140,194,206,203,329,399,359,367,375
ZCTA5 01010,01010,1438,1465,1523,1582,1641,1653,1704,1710,1684,1670,1698,1652,1643,1619
ZCTA5 01011,01011,650,648,664,681,688,707,694,696,671,696,651,658,622,643
ZCTA5 01012,01012,299,306,326,297,331,342,322,333,353,334,279,246,219,205
ZCTA5 01013,01013,9934,9824,9962,10089,10065,10212,10245,10192,10079,10273,10348,10189,10309,10502
ZCTA5 01020,01020,13662,13666,13353,13192,13298,13083,13144,13326,13548,13664,13964,13976,14154,14319
ZCTA5 01022,01022,1246,1255,1445,1534,1435,1331,1314,1161,1172,1109,1098,1094,1069,923
ZCTA5 01026,01026,504,490,521,501,501,522,535,520,525,530,559,608,590,585
ZCTA5 01027,01027,8477,8346,8293,8386,8355,8365,8356,8494,8457,8610,8977,9179,9221,8937
ZCTA5 01028,01028,5801,5971,6025,6275,6291,6346,6154,6175,6251,6010,6294,6277,6051,6150
ZCTA5 01029,01029,1048,1075,1085,1091,1113,1089,1058,1055,1031,1021,995,949,981,903
ZCTA5 01030,01030,4596,4555,4554,4618,4462,4577,4462,4615,4630,4986,5173,5134,5199,5252
ZCTA5 01031,01031,695,682,709,674,696,671,692,653,665,614,659,731,734,719
ZCTA5 01032,01032,367,375,372,347,369,378,360,367,414,383,317,340,321,307
ZCTA5 01033,01033,2650,2672,2584,2432,2457,2543,2526,2551,2700,2615,2618,2784,2768,2535
ZCTA5 01034,01034,1067,1057,1115,1104,1170,1219,1259,1226,1242,1203,1199,1214,1245,1293
ZCTA5 01035,01035,2172,2277,2280,2380,2483,2443,2391,2460,2369,2305,2306,2366,2293,2347
ZCTA5 01036,01036,1904,1876,1902,1902,1972,2010,2088,2109,2122,2154,2118,2036,2025,2000
ZCTA5 01037,01037,263,257,261,288,284,265,254,266,243,211,274,272,272,316
ZCTA5 01038,01038,1238,1225,1264,1300,1310,1342,1438,1457,1350,1163,1150,1123,1119,1118
ZCTA5 01039,01039,717,728,737,671,638,597,578,551,571,612,721,739,703,657
ZCTA5 01040,01040,16999,17021,16922,16775,16776,16531,17046,16855,16981,17097,16731,16743,17057,17057
ZCTA5 01050,01050,1214,1201,1208,1182,1208,1213,1219,1273,1288,1224,1235,1228,1166,1132
ZCTA5 01053,01053,664,594,615,593,592,567,562,623,576,598,748,778,820,880
ZCTA5 01054,01054,733,771,771,817,856,839,855,823,794,790,776,813,797,816
ZCTA5 01056,01056,8259,8415,8622,8589,8539,8569,8637,8498,8408,8737,9000,9025,8984,9154
ZCTA5 01057,01057,3626,3656,3644,3644,3739,3669,3658,3632,3724,3838,3726,3717,3656,3490
ZCTA5 01060,01060,7137,7010,6925,6996,6927,6892,7079,7022,7051,7124,7493,7752,7875,8407
ZCTA5 01062,01062,4800,4871,4727,4725,4654,4617,4506,4322,4438,4415,4474,4467,4481,4803
ZCTA5 01063,01063,0,0,0,0,0,0,0,0,0,0,23,23,11,64
ZCTA5 01066,01066,0,0,0,10,10,12,9,9,31,30,64,69,60,38
ZCTA5 01068,01068,697,678,684,677,691,695,718,711,734,681,667,674,697,687
