Geographic_Area_Name,zipCode,Median_number_of_rooms_2011,Median_number_of_rooms_2012,Median_number_of_rooms_2013,Median_number_of_rooms_2014,Median_number_of_rooms_2015,Median_number_of_rooms_2016,Median_number_of_rooms_2017,Median_number_of_rooms_2018,Median_number_of_rooms_2019,Median_number_of_rooms_2020,Median_number_of_rooms_2021,Median_number_of_rooms_2022,Median_number_of_rooms_2023,Median_number_of_rooms_2024
ZCTA5 01001,01001,5.4,5.4,5.4,5.4,5.4,5.3,5.4,5.4,5.3,5.4,5.5,5.4,5.3,5.3
ZCTA5 01002,01002,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.3,5.4,5.3,5.4,5.4,5.2
ZCTA5 01003,01003,-,5.8,-,-,4.3,1.4,1.8,1.8,2.1,2.5,2.9,2.8,3.0,6.5
ZCTA5 01005,01005,6.0,6.1,5.8,5.8,5.8,5.9,6.0,6.1,6.2,6.5,6.7,6.5,6.4,6.5
ZCTA5 01007,01007,5.9,5.8,5.7,5.7,5.9,5.9,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.1
ZCTA5 01008,01008,6.9,6.7,6.4,6.3,6.1,6.2,6.1,6.3,6.2,6.1,6.0,6.2,5.9,6.2
ZCTA5 01009,01009,5.5,5.3,5.4,5.0,5.4,5.3,6.7,6.9,6.6,7.6,6.8,6.3,5.7,5.9
ZCTA5 01010,01010,5.9,6.0,5.9,6.0,5.9,6.0,6.0,6.0,5.6,6.1,6.1,6.2,6.1,6.3
ZCTA5 01011,01011,6.1,6.2,5.9,6.1,6.0,6.0,6.0,6.0,6.1,6.1,6.0,6.0,5.9,5.7
ZCTA5 01012,01012,5.2,5.2,5.5,5.3,5.5,5.4,5.6,5.5,5.6,5.4,5.5,5.4,5.7,5.9
ZCTA5 01013,01013,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.9,4.9,4.9,5.0,5.0,5.0,4.9
ZCTA5 01020,01020,5.0,5.1,5.1,5.1,5.1,5.1,5.0,5.0,5.0,5.1,5.1,5.1,5.1,5.1
ZCTA5 01022,01022,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.3,4.3,4.3,4.3,4.6,4.4,4.4
ZCTA5 01026,01026,5.3,5.3,5.6,5.7,5.9,6.2,6.1,6.0,6.1,5.5,5.3,5.4,5.4,5.4
ZCTA5 01027,01027,5.3,5.3,5.3,5.3,5.4,5.3,5.3,5.4,5.4,5.3,5.4,5.4,5.3,5.3
ZCTA5 01028,01028,6.4,6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.3,6.4,6.5
ZCTA5 01029,01029,5.3,5.2,5.1,5.2,5.3,5.1,5.1,5.2,5.3,5.3,5.3,5.4,5.3,5.2
ZCTA5 01030,01030,6.1,6.1,6.0,6.0,6.0,5.9,6.1,6.0,6.0,6.1,6.0,5.9,5.9,5.7
ZCTA5 01031,01031,5.4,5.5,5.6,5.4,5.3,5.2,5.1,5.0,4.7,5.0,5.4,5.2,5.4,5.3
ZCTA5 01032,01032,5.0,5.0,4.9,5.0,5.2,5.2,5.2,5.1,5.0,5.1,5.5,5.4,5.5,5.6
ZCTA5 01033,01033,5.9,5.9,5.9,5.7,5.8,5.8,5.8,5.7,5.8,5.9,5.8,5.9,6.0,6.1
ZCTA5 01034,01034,6.2,6.1,6.1,6.1,6.0,6.0,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6.1
ZCTA5 01035,01035,6.1,6.2,6.4,6.3,6.4,6.5,6.6,6.4,6.4,6.2,6.4,6.3,6.3,6.3
ZCTA5 01036,01036,6.7,6.6,6.6,6.7,6.5,6.5,6.6,6.6,6.4,6.4,6.2,6.2,6.2,6.2
ZCTA5 01037,01037,6.4,6.8,6.4,5.9,5.8,5.9,5.8,6.0,7.0,9.0+,6.3,6.4,6.4,6.3
