Geographic_Area_Name,zipCode,Aggregate_number_of_rooms_2011,Aggregate_number_of_rooms_2012,Aggregate_number_of_rooms_2013,Aggregate_number_of_rooms_2014,Aggregate_number_of_rooms_2015,Aggregate_number_of_rooms_2016,Aggregate_number_of_rooms_2017,Aggregate_number_of_rooms_2018,Aggregate_number_of_rooms_2019,Aggregate_number_of_rooms_2020,Aggregate_number_of_rooms_2021,Aggregate_number_of_rooms_2022,Aggregate_number_of_rooms_2023
ZCTA5 01001,01001,40658,41103,40456,40010,40359,39998,41365,42064,41513,38451,38928,37999,38409
ZCTA5 01002,01002,55463,56905,57041,57636,58527,59293,61389,61176,61346,64684,64429,58417,64088
ZCTA5 01003,01003,,,,,135,55,104,134,190,205,350,350,382
ZCTA5 01005,01005,13006,12974,13584,13021,12980,13251,13299,13457,14011,14905,15128,13882,13286
ZCTA5 01007,01007,33756,33418,33939,34648,35431,35451,36772,36699,36787,36976,39149,41045,40657
ZCTA5 01008,01008,3907,3879,3507,3751,3753,4109,4227,4194,4019,3770,4019,4054,4192
ZCTA5 01009,01009,2063,1808,2142,1828,1394,869,1448,1418,1320,2258,2710,2300,2235
ZCTA5 01010,01010,8513,8883,9430,10051,10296,10423,10692,10676,10091,10715,10795,10688,10587
ZCTA5 01011,01011,3922,3932,3983,4115,4172,4283,4259,4311,4171,4379,4020,4055,3837
ZCTA5 01012,01012,1584,1631,1858,1684,1930,1983,1923,1905,2025,1874,1533,1324,1283
ZCTA5 01013,01013,49230,49243,49809,50570,50292,50796,51150,51449,50402,52125,53123,53455,53067
ZCTA5 01020,01020,70201,72662,70678,68270,69032,67408,67778,68685,70457,71901,73448,73261,74130
ZCTA5 01022,01022,5589,5642,6466,6824,6407,5870,5786,5187,5295,5002,4927,5112,4978
ZCTA5 01026,01026,2805,2798,3027,3017,3088,3391,3420,3331,3330,3064,3127,3539,3385
ZCTA5 01027,01027,46018,46768,46243,46564,46295,45827,45149,46710,47372,47485,49847,51023,50587
ZCTA5 01028,01028,36841,38631,38190,39789,39922,40232,39028,39118,39640,38561,41361,40678,39815
ZCTA5 01029,01029,5597,5760,5764,5757,5874,5619,5509,5629,5520,5622,5570,5409,5450
ZCTA5 01030,01030,27650,27822,27301,27724,26842,26965,27173,28160,28407,30409,31841,30489,30504
ZCTA5 01031,01031,4081,4241,4478,3952,3953,3928,3990,3594,3526,3437,3694,4068,4300
ZCTA5 01032,01032,1874,1922,1933,1856,2014,2062,2012,1996,2181,2129,1917,2033,2008
ZCTA5 01033,01033,15792,16271,15748,14582,14935,15212,15270,15124,16269,15931,15736,16961,16946
ZCTA5 01034,01034,6614,6631,7034,6947,7214,7570,7965,7820,7895,7856,7702,7715,7879
ZCTA5 01035,01035,13268,14649,14439,15229,15746,15677,15793,16606,16050,15400,15674,15965,15221
ZCTA5 01036,01036,12314,12406,12610,12859,12978,13138,13765,14052,14189,14425,14024,13311,13152
ZCTA5 01037,01037,1752,2026,1664,1780,1713,1722,1743,1841,1837,1841,2048,2025,1968
ZCTA5 01038,01038,7404,7471,7757,8121,8071,8047,8608,8755,8116,7169,7354,7296,7192
ZCTA5 01039,01039,4135,4302,4219,3914,3825,3543,3462,3221,3549,3817,4614,4776,4688
ZCTA5 01040,01040,84946,86999,85513,86365,86140,86191,87324,86358,86595,85947,84141,84730,85460
ZCTA5 01050,01050,7017,7163,7110,6876,7120,7219,7092,7356,7592,7387,7596,7970,7676
ZCTA5 01053,01053,3841,3602,3782,3585,3688,3605,3594,3661,3407,3429,4298,4403,4893
ZCTA5 01054,01054,4740,5230,5261,5611,5894,5819,5808,5588,5517,5572,5493,5884,5828
ZCTA5 01056,01056,47155,48162,49065,49757,50001,49398,49321,49349,48376,49719,51007,51802,51403
ZCTA5 01057,01057,21727,22601,23220,23287,23015,22920,22956,22797,23280,24570,23392,23540,23164
ZCTA5 01060,01060,34949,36215,36539,35330,35088,34936,35726,34583,35215,36952,38227,39980,40559
ZCTA5 01062,01062,27533,29414,28980,28079,28310,27972,26818,26151,27045,26396,26629,26874,26309
ZCTA5 01063,01063,-,-,-,-,-,-,-,-,-,-,64,140,106
ZCTA5 01066,01066,-,-,-,,,,,,,,362,452,393
ZCTA5 01068,01068,4638,4688,4673,4503,4602,4785,4940,5009,5227,4835,4722,4757,4838
ZCTA5 01069,01069,21682,21888,21363,21764,22747,22099,24078,22925,21556,22616,22531,22951,24529
ZCTA5 01070,01070,1889,2013,2195,2058,1880,2004,1956,1893,1998,2117,2061,2105,1963
ZCTA5 01071,01071,3748,3646,3578,3656,3571,3532,3328,3390,3477,3965,3857,3973,4020
ZCTA5 01072,01072,4348,4329,4240,4257,4413,4651,4564,4675,4602,4368,4098,4116,4088
ZCTA5 01073,01073,13804,14257,14250,14642,16023,16614,16187,16200,15945,15325,15185,17200,16971
ZCTA5 01074,01074,1249,808,278,684,504,,839,953,700,706,1262,1370,1389
ZCTA5 01075,01075,41565,44599,43680,42575,40778,40439,39849,39880,39440,42119,44206,45651,44922
ZCTA5 01077,01077,22979,23238,23612,23586,24013,24303,24952,24905,24448,24431,23806,24027,24745
ZCTA5 01079,01079,594,1413,1774,1789,1910,2578,1811,1783,1912,1304,1318,1309,747
ZCTA5 01080,01080,6149,6184,5764,5700,5785,5359,5352,5779,5711,5109,5542,6061,6241
ZCTA5 01081,01081,5000,4910,4463,4643,4537,4616,4698,4918,4923,5214,5084,4941,5074
ZCTA5 01082,01082,27525,27594,28573,27212,26714,27556,28458,29051,29268,27563,29595,30714,29604
ZCTA5 01083,01083,6604,7262,6777,6926,6893,7012,7182,7280,7118,6745,5721,5466,7149
ZCTA5 01084,01084,664,673,613,741,630,661,693,696,701,674,524,518,568
ZCTA5 01085,01085,91483,99739,94104,95199,94716,94139,93135,93467,93520,96236,96933,98350,98491
ZCTA5 01086,01086,-,-,-,-,-,-,-,-,-,-,,,
ZCTA5 01088,01088,2017,1931,1538,1532,1551,1503,1194,1371,1552,1667,1751,2051,1647
ZCTA5 01089,01089,63592,64830,63487,62916,63161,63260,65017,64362,66941,66253,67783,67670,68776
ZCTA5 01092,01092,3302,3490,2932,2757,3352,3332,3178,4032,3495,3453,3641,3962,3485
