Geographic_Area_Name,zipCode,Median_gross_rent_2011,Median_gross_rent_2012,Median_gross_rent_2013,Median_gross_rent_2014,Median_gross_rent_2015,Median_gross_rent_2016,Median_gross_rent_2017,Median_gross_rent_2018,Median_gross_rent_2019,Median_gross_rent_2020,Median_gross_rent_2021,Median_gross_rent_2022,Median_gross_rent_2023,Median_gross_rent_2024
ZCTA5 01001,01001,839,848,870,895,911,975,1034,1093,1148,1165,1208,1278,1305,1318
ZCTA5 01002,01002,1071,1092,1125,1117,1127,1206,1278,1316,1380,1276,1342,1476,1561,1664
ZCTA5 01003,01003,-,1673,-,-,1698,1150,-,-,-,-,-,-,2667,2643
ZCTA5 01005,01005,950,775,856,906,913,926,945,926,965,1133,-,1394,1603,1591
ZCTA5 01007,01007,845,895,860,876,877,921,970,979,975,984,1110,1211,1301,1283
ZCTA5 01008,01008,775,870,540,821,836,831,825,1675,-,-,820,932,954,1047
ZCTA5 01009,01009,893,938,936,939,862,-,-,-,-,-,-,1289,1305,1286
ZCTA5 01010,01010,953,917,748,683,736,773,743,1043,703,835,825,927,786,886
ZCTA5 01011,01011,833,715,833,883,800,881,900,975,1040,935,974,993,1134,1122
ZCTA5 01012,01012,876,936,965,870,890,1106,1203,1250,1257,1023,1083,1022,895,996
ZCTA5 01013,01013,729,767,801,837,841,840,860,899,878,868,931,990,1005,1054
ZCTA5 01020,01020,754,772,771,779,806,839,889,924,956,988,1036,1095,1153,1212
ZCTA5 01022,01022,1418,1492,1514,1713,1379,1268,1226,1198,1517,1563,1504,1671,1878,1868
ZCTA5 01026,01026,759,717,761,825,780,786,829,857,855,911,938,1054,1023,825
ZCTA5 01027,01027,843,875,874,853,886,912,937,985,1000,1001,1047,1169,1195,1292
ZCTA5 01028,01028,553,660,1017,695,738,851,928,930,945,1045,962,1180,1229,1337
ZCTA5 01029,01029,-,-,-,558,578,633,632,695,-,1675,-,-,-,-
ZCTA5 01030,01030,773,820,736,839,864,780,819,903,869,974,1091,1124,1124,1118
ZCTA5 01031,01031,776,748,736,758,696,696,821,904,901,978,998,1121,1164,1175
ZCTA5 01032,01032,1167,881,1257,1301,1375,1352,1344,1094,1196,1125,1188,-,1281,875
ZCTA5 01033,01033,698,685,726,749,742,786,992,809,843,915,861,853,-,-
ZCTA5 01034,01034,1000,1014,910,970,975,-,1125,1292,1350,1406,1575,1886,1804,1375
ZCTA5 01035,01035,855,850,898,988,1033,1072,1050,1174,1252,1152,1246,1625,1682,1402
ZCTA5 01036,01036,720,702,592,773,763,913,964,1105,1121,1193,2045,-,-,1132
ZCTA5 01037,01037,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01038,01038,842,869,976,998,1009,1035,1079,1113,1088,1250,1200,1352,1458,1442
ZCTA5 01039,01039,695,732,741,900,1078,1004,1105,1077,1151,1453,1215,1517,1513,969
ZCTA5 01040,01040,703,666,658,697,700,742,795,818,838,847,908,937,1016,1021
ZCTA5 01050,01050,661,678,708,683,775,988,987,975,959,1022,1103,1173,1302,1326
ZCTA5 01053,01053,943,938,941,969,,-,1561,1098,976,1100,1090,1221,1677,1678
ZCTA5 01054,01054,1000,1116,992,961,1056,1029,1163,1174,1393,1617,1453,1400,1339,1389
ZCTA5 01056,01056,854,847,840,870,888,884,922,999,1027,1026,1078,1192,1250,1223
ZCTA5 01057,01057,796,851,866,852,821,844,819,835,865,869,852,942,880,874
ZCTA5 01060,01060,890,946,973,1009,1033,1042,1124,1175,1231,1264,1353,1435,1460,1490
ZCTA5 01062,01062,840,853,917,894,877,879,915,934,940,982,1038,1083,1016,1161
ZCTA5 01063,01063,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01066,01066,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01068,01068,893,810,844,1039,1050,1175,1201,1225,1153,1167,1227,1361,1208,1174
ZCTA5 01069,01069,652,667,702,673,682,669,727,859,889,831,920,890,929,1013
ZCTA5 01070,01070,850,750,667,606,600,633,1000,850,800,871,895,972,1063,1292
ZCTA5 01071,01071,894,989,945,965,1025,882,829,855,950,905,885,933,950,944
ZCTA5 01072,01072,1136,1107,1125,1238,1281,1321,1519,1515,1417,1389,1444,1539,1500,1721
ZCTA5 01073,01073,1135,1147,1192,989,983,979,989,1010,903,863,800,1139,741,-
ZCTA5 01074,01074,799,798,-,-,-,-,1083,1177,-,-,1083,1085,1032,962
ZCTA5 01075,01075,804,791,832,910,912,927,948,960,1013,969,1025,1171,1264,1325
ZCTA5 01077,01077,872,918,934,896,927,929,933,972,1105,1095,1149,1243,1343,1332
ZCTA5 01079,01079,930,908,920,1071,1314,1323,1322,1375,1609,1208,-,1117,-,-
ZCTA5 01080,01080,783,808,824,854,879,840,845,902,957,1032,1129,1237,1115,1125
ZCTA5 01081,01081,720,702,723,873,829,861,843,843,827,798,1111,1429,1263,1090
ZCTA5 01082,01082,741,741,753,786,795,752,812,948,955,878,916,1014,1049,1032
