Geographic_Area_Name,zipCode,Median_value_2011,Median_value_2012,Median_value_2013,Median_value_2014,Median_value_2015,Median_value_2016,Median_value_2017,Median_value_2018,Median_value_2019,Median_value_2020,Median_value_2021,Median_value_2022,Median_value_2023,Median_value_2024
ZCTA5 01001,01001,219500,216300,213000,212900,203700,202800,209400,213000,215700,220900,236300,257700,270300,295700
ZCTA5 01002,01002,337900,343500,338900,341600,342600,344000,344600,355600,355500,366900,388300,435200,449000,481100
ZCTA5 01003,01003,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01005,01005,239000,226500,208500,208000,209800,213700,222000,231000,236400,257200,281000,294900,328500,392600
ZCTA5 01007,01007,276000,268400,260000,255800,255800,258000,263900,272500,276900,277000,288300,336400,350400,371400
ZCTA5 01008,01008,255700,257100,247200,247600,235700,235000,231500,231700,243700,230200,251700,279400,279500,295200
ZCTA5 01009,01009,210900,168800,172600,188800,227600,218800,221200,227800,205300,205700,207800,224200,275800,274200
ZCTA5 01010,01010,260700,257500,264800,270400,255600,267400,270100,272600,272200,287900,299400,355400,379700,389100
ZCTA5 01011,01011,213200,206900,191000,189800,176000,188900,202600,202100,206800,208200,213800,263000,280900,291400
ZCTA5 01012,01012,234100,240200,242600,232900,233800,228400,250000,255400,249700,249100,247900,301700,350000,438700
ZCTA5 01013,01013,182600,181000,179800,174000,173200,173400,175700,175600,183000,188600,197800,231500,249300,271900
ZCTA5 01020,01020,187200,185500,181400,179700,176800,179300,180400,182600,187400,193500,203400,236600,259100,280900
ZCTA5 01022,01022,131000,131800,131400,130700,128200,121100,124100,122800,120900,123600,135300,145300,169700,193600
ZCTA5 01026,01026,279600,279000,280800,260100,265300,259100,253000,244300,259800,223200,240400,273200,283600,311100
ZCTA5 01027,01027,237900,236500,236700,238200,241800,247900,249800,257200,262400,271000,285800,334800,348300,375700
ZCTA5 01028,01028,263500,266500,256300,261700,262900,259800,256500,266600,268400,274100,290500,320500,344100,379200
ZCTA5 01029,01029,314000,331900,340800,342600,309000,289500,266200,245000,242200,276700,282000,389500,469400,467600
ZCTA5 01030,01030,245500,250600,248800,243500,243600,241800,240500,243000,253400,248400,262700,288100,315900,327700
ZCTA5 01031,01031,247800,226300,219800,196800,193800,183300,184200,180800,198500,190000,190700,232300,237700,245600
ZCTA5 01032,01032,244100,241000,231700,239600,243200,253300,257800,266000,249000,260700,245700,275600,319200,361600
ZCTA5 01033,01033,243200,240900,245900,249800,260400,262100,263300,253900,255800,267400,281200,298900,319600,352600
ZCTA5 01034,01034,291800,289100,282100,276500,273600,262400,271700,275400,278700,280500,288100,322100,331300,356800
ZCTA5 01035,01035,314700,335900,326400,333500,329600,325900,310100,329900,340000,331100,361400,420100,453300,511000
ZCTA5 01036,01036,283000,277000,270300,272900,274000,271200,275200,282900,283100,286400,289100,331400,345200,358200
ZCTA5 01037,01037,343100,318400,279800,318300,310100,313200,312000,294200,272100,296000,249600,411400,408600,443000
ZCTA5 01038,01038,309700,299200,299200,297300,283000,282700,291400,299400,305000,323600,350400,434800,450200,442500
ZCTA5 01039,01039,327600,296800,277400,273100,270100,271900,263200,286600,293900,327000,330700,377300,413800,423100
ZCTA5 01040,01040,189400,189300,187200,186100,186500,188600,182700,188900,195800,197700,209900,236800,255300,274100
ZCTA5 01050,01050,221700,225300,220200,209900,217400,220000,211500,210900,212300,226500,233200,264300,282400,289500
ZCTA5 01053,01053,283400,281900,289100,269700,269700,278600,277800,267000,283500,283300,282000,318600,345600,356900
ZCTA5 01054,01054,335100,332700,341700,345000,343900,344200,348500,337600,335300,353800,364600,410200,444700,435500
ZCTA5 01056,01056,225100,226200,225500,226100,227900,228300,224700,230700,232300,240000,247300,285000,303900,335300
ZCTA5 01057,01057,240100,245200,240700,234900,230100,226800,232200,242000,247700,252400,259400,296300,312100,345300
ZCTA5 01060,01060,305700,306100,305500,291300,301100,319200,322800,340500,354500,361400,364100,420200,427100,453400
ZCTA5 01062,01062,258100,256200,270300,273200,287700,314300,321800,316500,320700,324200,326100,374100,389000,421000
ZCTA5 01063,01063,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01066,01066,-,-,-,-,-,-,-,-,-,-,-,409200,409100,-
ZCTA5 01068,01068,293600,279300,272800,257100,256000,271600,278200,284500,294800,302700,320300,365200,379600,420100
ZCTA5 01069,01069,211100,207000,198700,198000,196600,189600,197100,200900,206400,204400,210700,231100,251300,274000
ZCTA5 01070,01070,225000,232100,259500,238900,236400,239300,239000,233000,238200,240000,244200,248300,271100,296200
ZCTA5 01071,01071,226500,231100,226900,218500,229200,225500,216500,216400,229400,232100,243200,267400,287000,298700
ZCTA5 01072,01072,260700,255500,251200,259400,260200,267200,276600,278800,274500,273900,283300,312800,321400,355100
ZCTA5 01073,01073,288400,296900,307300,291600,297700,322000,319800,325400,336600,338400,336600,373300,426900,452300
ZCTA5 01074,01074,204200,237000,-,-,-,-,-,-,-,-,-,256300,-,-
ZCTA5 01075,01075,243400,238200,234600,234100,231100,227300,232700,235900,243500,261900,275600,311600,324800,357900
ZCTA5 01077,01077,244000,242300,259400,274400,283400,283300,290200,289800,277500,299500,303000,339000,375700,397500
ZCTA5 01079,01079,193400,186300,179600,167600,160200,177300,180500,184600,190600,195200,248400,264900,283300,263400
ZCTA5 01080,01080,169900,165200,159700,155100,159600,159600,160000,163700,169200,190900,195800,228300,254800,270000
ZCTA5 01081,01081,227600,221100,204300,196700,199800,195000,194000,190800,196600,214200,232400,258100,275400,296800
ZCTA5 01082,01082,208900,203100,201500,196800,186400,185800,186400,193700,204700,209600,215500,250000,271200,292000
ZCTA5 01083,01083,207600,200400,197000,199600,199800,200000,212100,217400,220000,232000,268900,346900,375200,364800
ZCTA5 01084,01084,305800,302900,305000,322000,312500,315000,245800,266700,236700,230400,198200,282100,328600,282800
ZCTA5 01085,01085,226400,228100,224200,223700,224300,223700,222100,228900,236000,249000,257900,283500,296300,326100
ZCTA5 01086,01086,-,-,-,-,-,-,-,-,-,-,,,,
ZCTA5 01088,01088,239200,306200,225000,216700,249400,245900,240800,279500,307300,332400,316700,377100,383300,407500
ZCTA5 01089,01089,210000,207100,201000,200000,201600,202400,213800,222000,225100,235200,251600,294400,307900,321500
ZCTA5 01092,01092,200000,253600,227500,250600,253600,251800,215300,216100,215200,238800,245300,283600,326000,313600
ZCTA5 01093,01093,281300,247600,340400,330000,327200,341800,338100,349000,360800,354000,361300,387900,425600,445100
ZCTA5 01094,01094,130900,126500,143300,178100,178500,179900,188900,183300,182000,198700,344700,-,433300,472200
ZCTA5 01095,01095,299600,291100,286100,285000,281100,287800,299900,299900,301700,301100,319900,360800,383200,415000
ZCTA5 01096,01096,253500,259300,257400,256200,256300,269800,274700,282200,293000,280900,299100,339400,356800,374900
ZCTA5 01097,01097,-,-,-,-,-,-,-,-,-,-,-,-,-,337500
ZCTA5 01098,01098,238400,239700,246500,252800,260100,266400,270900,275500,274200,279900,277600,309500,355000,385000
ZCTA5 01103,01103,149000,137500,93900,125500,103100,119000,118000,119900,119600,157400,146900,188800,148000,185700
ZCTA5 01104,01104,146500,140200,132400,129000,131200,132400,134800,138200,141400,151400,160000,187500,210800,234800
ZCTA5 01105,01105,153400,141600,138900,135500,130700,141000,139100,142000,132200,177800,178800,207100,238400,217800
ZCTA5 01106,01106,351300,343200,338400,338400,333100,327700,327600,336400,345500,349600,361900,409500,423800,452100
ZCTA5 01107,01107,160500,148000,153400,153700,154000,161400,169500,159900,160800,164900,162400,187000,215500,243600
ZCTA5 01108,01108,163800,157400,151600,151300,148200,152200,153700,156700,163500,167800,171100,200700,219500,250900
ZCTA5 01109,01109,133600,135000,130500,129400,127200,129300,130000,132300,134600,143700,151600,180100,203100,219900
ZCTA5 01118,01118,168300,165900,161600,160600,158300,157300,160500,164700,169200,179400,184300,224200,243800,275100
ZCTA5 01119,01119,147400,150300,144100,144900,145200,149700,148800,153600,157000,161400,169900,204400,222900,245100
ZCTA5 01128,01128,185400,185400,179000,169100,170200,168200,167500,171700,184500,200400,204400,233000,246200,272100
ZCTA5 01129,01129,175000,170000,162200,161300,163100,164000,167400,171900,171700,170800,185500,211900,239200,256700
ZCTA5 01144,01144,,,,,,,,,,,-,-,-,-
ZCTA5 01151,01151,158100,154300,152700,154700,141400,133500,136200,132800,136000,151700,158000,181300,219800,237200
ZCTA5 01199,01199,-,-,-,-,-,-,-,-,-,-,,,,
ZCTA5 01201,01201,178500,177100,178600,174000,174000,172400,174600,174300,176400,178500,185800,221800,236500,259800
ZCTA5 01220,01220,156000,156200,151100,145200,146000,149700,152000,155000,163900,161600,167500,182700,199800,209900
ZCTA5 01222,01222,283000,274700,247100,251100,254500,254800,246100,254400,256300,250600,265600,303000,312700,349500
ZCTA5 01223,01223,224000,221700,222500,233700,250200,259900,256300,264000,261900,283200,281600,317700,352200,363600
ZCTA5 01224,01224,162900,169900,172200,189500,192200,192300,184000,184400,201000,225700,243000,278400,275900,275900
ZCTA5 01225,01225,193900,197500,206300,202300,199600,198800,192600,193500,208800,199400,210500,234200,237000,268200
ZCTA5 01226,01226,204400,206300,205200,185900,181900,187500,185800,184800,219800,244200,262900,285800,289300,295700
ZCTA5 01229,01229,405600,365400,395000,356300,306500,246700,333300,312500,345800,425000,804300,947900,531300,395900
ZCTA5 01230,01230,349300,362600,351100,339400,323300,344300,334300,348000,363400,378200,389400,448200,479200,527300
ZCTA5 01235,01235,222800,219700,203400,193900,194300,193200,191100,195300,199700,192400,182300,225500,266200,267500
ZCTA5 01236,01236,322800,302900,296900,313800,304300,330500,313200,288900,326300,294400,299300,381300,481300,504900
ZCTA5 01237,01237,228000,218100,218400,225600,224600,242100,246500,278700,293000,254900,242700,264700,278100,303700
ZCTA5 01238,01238,246200,256900,251300,248600,256000,250800,266400,288200,278300,291500,289300,313100,332100,355700
ZCTA5 01240,01240,305700,308900,321400,328600,336700,369400,361700,332500,331500,340300,349000,418600,480800,470400
ZCTA5 01242,01242,187500,193400,257000,239300,247900,251700,260900,268800,261700,189600,193800,-,-,-
ZCTA5 01243,01243,194200,194300,201000,209400,220000,221700,230500,241700,229600,236200,308000,404500,288100,292900
ZCTA5 01244,01244,323100,342300,353800,357700,337500,427300,388900,381600,411500,420800,608300,660200,584200,685700
ZCTA5 01245,01245,395500,370300,417900,422200,410300,427600,428700,453000,424300,443700,458300,520700,602900,629900
ZCTA5 01247,01247,152300,155200,157300,159700,154800,154100,153300,151800,147900,154900,157400,171400,190600,205200
ZCTA5 01253,01253,314900,274100,252700,237500,237800,239500,248800,255600,284300,279000,282300,315300,339200,390900
ZCTA5 01254,01254,413000,404100,404800,437800,443300,447500,456300,457200,445200,479700,447600,516100,555300,625000
ZCTA5 01255,01255,245700,259600,248000,250700,278000,288600,296500,292400,265700,266500,278000,288200,331300,360300
ZCTA5 01256,01256,186300,177600,184500,193800,190300,188400,185700,178800,172600,193400,196100,237500,267200,285200
ZCTA5 01257,01257,370400,364900,330700,323900,317800,314500,312200,329900,327000,329100,385900,461500,432100,441000
ZCTA5 01258,01258,381300,391100,348600,376800,396900,417900,389600,423800,443500,493900,397600,506000,593800,714300
ZCTA5 01259,01259,425900,443100,473100,470700,446400,386200,383900,362300,367900,378900,352700,407100,456400,546300
ZCTA5 01260,01260,314300,352100,495000,329400,367600,384400,446700,427300,630400,666700,191300,-,-,-
ZCTA5 01262,01262,390100,388500,373400,387900,335200,366200,406300,392100,510900,484600,507100,549200,556000,622400
ZCTA5 01264,01264,350000,343800,361100,353800,333300,355600,450000,350000,366700,416700,522700,545500,666700,916700
ZCTA5 01266,01266,395600,412100,400000,382600,390300,380800,378700,376500,386800,375300,363000,414700,481600,563400
ZCTA5 01267,01267,295400,298000,293000,305000,310200,299300,297900,312400,320800,331700,356700,405000,438100,429800
ZCTA5 01270,01270,252600,246400,245300,246900,272700,279300,295900,287300,279800,303400,300000,328200,350400,386700
ZCTA5 01301,01301,188000,183900,186300,182900,184900,185300,189600,190100,195400,198000,209300,242100,253800,265300
ZCTA5 01330,01330,294000,297300,286200,288400,276700,276200,273000,283800,279300,325200,328400,344100,368400,391700
ZCTA5 01331,01331,180600,170300,161600,154500,150300,148500,154000,159700,165400,182400,193400,227300,257300,281400
ZCTA5 01337,01337,225700,227300,229700,235300,229700,236700,239200,243500,246500,258100,260300,291900,312300,338800
ZCTA5 01338,01338,320600,311400,255900,258300,282800,287500,260400,212500,234700,233300,225000,-,254400,305900
ZCTA5 01339,01339,210100,208700,213100,226400,234300,228400,227600,234300,234700,223600,248100,285800,307600,309300
ZCTA5 01340,01340,202800,200400,190300,183300,183500,185300,205400,217900,217700,221700,233200,261400,268100,283200
ZCTA5 01341,01341,303500,295600,291000,304900,295300,300400,322300,318500,320700,341800,344500,358100,376500,396400
ZCTA5 01342,01342,323200,333300,335600,321500,313500,334300,306500,291000,276100,270700,274400,307600,363100,443000
ZCTA5 01343,01343,250000,243800,344400,322200,343800,287500,287500,255600,242500,245500,215000,219400,265000,276600
ZCTA5 01344,01344,194900,199400,198400,205000,206700,199800,208400,199800,203900,208200,207800,233300,241500,271800
ZCTA5 01346,01346,241300,255300,237500,231000,227400,213800,227300,245200,249100,233000,237100,246500,285200,292100
ZCTA5 01347,01347,160000,166700,86500,91000,103100,103800,115600,124400,117700,157400,-,165400,166300,180800
ZCTA5 01349,01349,193600,185300,193000,203600,200700,192300,194000,195200,191800,201500,238000,288100,273500,297700
ZCTA5 01350,01350,143800,187500,145000,112500,102500,104700,108000,107800,111400,122200,100000,150000,147900,165000
ZCTA5 01351,01351,243700,243200,249700,259800,257600,268100,269200,250900,263200,268000,271800,284400,308400,346900
ZCTA5 01354,01354,209200,214100,213800,228100,237900,240600,247900,241800,248300,255900,269600,302600,323900,340100
ZCTA5 01355,01355,243500,242000,248600,263400,251900,254900,254900,253800,248000,258800,295200,329300,357400,375000
ZCTA5 01360,01360,251800,248400,241400,243400,241000,234500,249000,237200,226700,244300,267000,314000,337200,375800
ZCTA5 01364,01364,170500,161200,163400,160800,154300,159500,160900,163200,163800,167700,173900,207900,226000,247800
ZCTA5 01366,01366,295800,312500,300800,291400,286200,279900,271800,278000,287400,297500,310500,346000,375000,392400
ZCTA5 01367,01367,212000,214800,200900,194300,193100,190000,195000,208000,211800,230300,235300,254100,271100,286000
ZCTA5 01368,01368,211900,196900,194100,195800,205000,213000,230700,231600,241900,271600,274700,308800,325200,347300
ZCTA5 01370,01370,242800,249300,237100,233600,238600,242000,239100,246600,267100,284400,292800,329000,334000,354600
ZCTA5 01373,01373,264400,289500,274400,272900,273000,277500,279500,295700,306700,329400,345300,391900,387500,413500
ZCTA5 01375,01375,297600,307800,288500,290500,287700,278200,282000,295100,299800,324600,340000,383900,391200,458100
ZCTA5 01376,01376,190200,187800,186300,180300,184300,184400,186000,195600,199300,204900,211400,230100,237800,249400
ZCTA5 01378,01378,178300,182500,187900,206600,206900,206800,211100,219400,228600,254200,267000,297600,301400,349400
ZCTA5 01379,01379,201900,200400,198400,193000,195500,205700,208300,209800,213400,213600,223800,257200,271300,297400
ZCTA5 01380,01380,,,,,,,,,,,150000,-,129200,123600
