Geographic_Area_Name,zipCode,Charged_for_gas!!$100_to_$149_2021,Charged_for_gas!!$100_to_$149_2022,Charged_for_gas!!$100_to_$149_2023,Charged_for_gas!!$150+units_2021,Charged_for_gas!!$150+units_2022,Charged_for_gas!!$150+units_2023,Charged_for_gas!!$25_to_$49_2021,Charged_for_gas!!$25_to_$49_2022,Charged_for_gas!!$25_to_$49_2023,Charged_for_gas!!$50_to_$74_2021,Charged_for_gas!!$50_to_$74_2022,Charged_for_gas!!$50_to_$74_2023,Charged_for_gas!!$75_to_$99_2021,Charged_for_gas!!$75_to_$99_2022,Charged_for_gas!!$75_to_$99_2023,Charged_for_gas!!Less_than_$25_2021,Charged_for_gas!!Less_than_$25_2022,Charged_for_gas!!Less_than_$25_2023,Charged_for_gas_2021,Charged_for_gas_2022,Charged_for_gas_2023,"Not_charged,_not_used,_or_payment_included_in_other_fees_2021","Not_charged,_not_used,_or_payment_included_in_other_fees_2022","Not_charged,_not_used,_or_payment_included_in_other_fees_2023",Total_2021,Total_2022,Total_2023
ZCTA5 01001,01001,928,867,626,972,1047,1157,837,906,744,652,493,618,523,445,516,301,121,234,4213,3879,3895,2578,2732,2918,6791,6611,6813
ZCTA5 01002,01002,341,346,500,1025,1018,1214,562,554,520,461,421,341,230,323,279,785,613,614,3404,3275,3468,6581,5507,6247,9985,8782,9715
ZCTA5 01003,01003,0,0,0,10,11,13,0,0,0,0,0,0,0,0,0,0,0,0,10,11,13,5,8,21,15,19,34
ZCTA5 01005,01005,39,21,35,139,154,153,51,65,82,50,107,115,19,13,52,85,30,47,383,390,484,1378,1291,1204,1761,1681,1688
ZCTA5 01007,01007,463,462,415,935,1035,1061,92,27,51,152,125,121,69,85,123,232,127,124,1943,1861,1895,3974,4585,4534,5917,6446,6429
ZCTA5 01008,01008,24,15,19,55,71,70,20,17,2,25,23,32,8,2,4,25,32,37,157,160,164,349,371,421,506,531,585
ZCTA5 01009,01009,0,20,21,23,19,25,0,0,0,0,0,16,0,0,0,0,0,0,23,39,62,310,268,305,333,307,367
ZCTA5 01010,01010,29,33,78,161,183,242,18,5,5,64,38,39,15,26,16,32,32,17,319,317,397,1184,1163,1082,1503,1480,1479
ZCTA5 01011,01011,31,57,60,69,91,80,41,31,16,31,23,13,27,37,24,40,29,12,239,268,205,259,244,241,498,512,446
ZCTA5 01012,01012,8,13,22,43,52,26,10,3,3,21,8,11,23,19,9,0,0,0,105,95,71,122,103,93,227,198,164
ZCTA5 01013,01013,758,889,958,843,1034,1239,1146,915,942,713,698,575,628,464,461,494,360,435,4582,4360,4610,4793,4990,4939,9375,9350,9549
ZCTA5 01020,01020,1259,1171,1313,1422,1813,2075,1420,1393,1327,1108,939,848,882,983,822,602,510,438,6693,6809,6823,6707,6502,6755,13400,13311,13578
ZCTA5 01022,01022,214,124,172,138,127,140,186,235,201,94,87,76,166,180,216,70,51,53,868,804,858,214,273,211,1082,1077,1069
ZCTA5 01026,01026,32,37,26,88,85,102,61,63,67,32,28,21,29,29,27,19,17,14,261,259,257,193,220,186,454,479,443
ZCTA5 01027,01027,591,698,790,887,996,1048,1031,850,745,789,652,657,244,368,338,348,265,305,3890,3829,3883,4561,4777,4693,8451,8606,8576
ZCTA5 01028,01028,1091,789,866,1709,1923,2230,502,563,575,605,528,328,233,276,199,172,102,92,4312,4181,4290,1705,1794,1567,6017,5975,5857
ZCTA5 01029,01029,13,4,3,46,62,108,30,25,18,10,18,22,4,3,4,21,34,35,124,146,190,104,95,115,228,241,305
ZCTA5 01030,01030,662,627,533,707,742,713,497,470,420,530,414,437,283,270,322,153,117,120,2832,2640,2545,2162,2326,2434,4994,4966,4979
ZCTA5 01031,01031,16,16,13,39,24,47,0,23,38,42,30,26,5,21,22,71,55,67,173,169,213,435,507,484,608,676,697
