Geographic_Area_Name,zipCode,Charged_for_other_fuels!!$250_to_$749_2021,Charged_for_other_fuels!!$250_to_$749_2022,Charged_for_other_fuels!!$250_to_$749_2023,Charged_for_other_fuels!!$750+units_2021,Charged_for_other_fuels!!$750+units_2022,Charged_for_other_fuels!!$750+units_2023,Charged_for_other_fuels!!Less_than_$250_2021,Charged_for_other_fuels!!Less_than_$250_2022,Charged_for_other_fuels!!Less_than_$250_2023,Charged_for_other_fuels_2021,Charged_for_other_fuels_2022,Charged_for_other_fuels_2023,"Not_charged,_not_used,_or_payment_included_in_other_fees_2021","Not_charged,_not_used,_or_payment_included_in_other_fees_2022","Not_charged,_not_used,_or_payment_included_in_other_fees_2023",Total_2021,Total_2022,Total_2023
ZCTA5 01001,01001,175,113,154,1095,1111,1114,111,83,66,1381,1307,1334,5410,5304,5479,6791,6611,6813
ZCTA5 01002,01002,500,361,431,1923,1679,1938,311,234,246,2734,2274,2615,7251,6508,7100,9985,8782,9715
ZCTA5 01003,01003,0,0,0,0,0,0,0,0,0,0,0,0,15,19,34,15,19,34
ZCTA5 01005,01005,191,126,80,944,940,854,116,91,115,1251,1157,1049,510,524,639,1761,1681,1688
ZCTA5 01007,01007,528,367,367,2651,2905,2840,199,204,286,3378,3476,3493,2539,2970,2936,5917,6446,6429
ZCTA5 01008,01008,72,71,80,249,270,277,10,6,4,331,347,361,175,184,224,506,531,585
ZCTA5 01009,01009,68,71,72,177,154,168,0,0,0,245,225,240,88,82,127,333,307,367
ZCTA5 01010,01010,118,106,105,732,744,678,103,100,101,953,950,884,550,530,595,1503,1480,1479
ZCTA5 01011,01011,45,69,78,224,235,224,41,9,6,310,313,308,188,199,138,498,512,446
ZCTA5 01012,01012,30,24,28,104,79,45,0,0,0,134,103,73,93,95,91,227,198,164
ZCTA5 01013,01013,226,184,179,1601,1915,2028,60,19,21,1887,2118,2228,7488,7232,7321,9375,9350,9549
ZCTA5 01020,01020,706,585,711,2692,2581,2462,202,189,201,3600,3355,3374,9800,9956,10204,13400,13311,13578
ZCTA5 01022,01022,15,33,34,74,70,57,12,0,0,101,103,91,981,974,978,1082,1077,1069
ZCTA5 01026,01026,92,88,73,153,152,150,21,17,14,266,257,237,188,222,206,454,479,443
ZCTA5 01027,01027,415,386,436,2135,2020,1834,162,156,134,2712,2562,2404,5739,6044,6172,8451,8606,8576
ZCTA5 01028,01028,122,113,185,923,880,726,102,109,121,1147,1102,1032,4870,4873,4825,6017,5975,5857
ZCTA5 01029,01029,7,10,11,97,103,132,23,19,18,127,132,161,101,109,144,228,241,305
ZCTA5 01030,01030,262,268,249,854,820,910,80,99,100,1196,1187,1259,3798,3779,3720,4994,4966,4979
ZCTA5 01031,01031,18,20,22,328,342,379,0,0,0,346,362,401,262,314,296,608,676,697
ZCTA5 01032,01032,35,26,15,83,114,122,22,23,18,140,163,155,58,69,92,198,232,247
ZCTA5 01033,01033,239,132,128,1299,1484,1535,153,150,116,1691,1766,1779,839,920,760,2530,2686,2539
ZCTA5 01034,01034,130,103,107,365,399,400,32,38,38,527,540,545,303,303,332,830,843,877
ZCTA5 01035,01035,244,185,171,918,942,871,30,25,26,1192,1152,1068,1062,1171,1225,2254,2323,2293
ZCTA5 01036,01036,231,264,220,562,547,536,49,58,6,842,869,762,1174,1102,1203,2016,1971,1965
ZCTA5 01037,01037,26,23,26,161,184,152,25,16,16,212,223,194,45,34,52,257,257,246
ZCTA5 01038,01038,19,49,89,324,303,272,29,20,27,372,372,388,739,686,674,1111,1058,1062
ZCTA5 01039,01039,112,113,111,346,356,318,30,21,19,488,490,448,221,230,245,709,720,693
ZCTA5 01040,01040,271,223,168,1488,1509,1414,130,87,81,1889,1819,1663,13173,13293,13861,15062,15112,15524
ZCTA5 01050,01050,222,152,115,530,574,578,25,33,35,777,759,728,295,343,291,1072,1102,1019
ZCTA5 01053,01053,9,18,27,68,57,60,67,66,55,144,141,142,568,601,649,712,742,791
ZCTA5 01054,01054,157,125,100,295,365,386,53,57,53,505,547,539,203,191,175,708,738,714
ZCTA5 01056,01056,530,403,350,2368,2429,2474,68,23,51,2966,2855,2875,5601,5647,5627,8567,8502,8502
ZCTA5 01057,01057,235,148,106,1878,1973,1783,126,77,40,2239,2198,1929,1246,1275,1514,3485,3473,3443
ZCTA5 01060,01060,117,113,106,409,425,499,216,216,205,742,754,810,6318,6637,6671,7060,7391,7481
ZCTA5 01062,01062,317,390,359,745,752,609,181,166,166,1243,1308,1134,2919,2870,3082,4162,4178,4216
ZCTA5 01063,01063,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,5,6,6
ZCTA5 01066,01066,26,31,27,8,38,33,0,0,0,34,69,60,0,0,0,34,69,60
ZCTA5 01068,01068,77,70,56,336,355,384,25,27,23,438,452,463,187,161,177,625,613,640
ZCTA5 01069,01069,581,404,434,1559,1885,2034,107,83,104,2247,2372,2572,1485,1476,1464,3732,3848,4036
ZCTA5 01070,01070,35,32,24,103,104,127,8,8,5,146,144,156,112,117,91,258,261,247
ZCTA5 01071,01071,65,61,40,291,317,361,22,10,3,378,388,404,140,142,132,518,530,536
ZCTA5 01072,01072,86,91,91,259,266,277,47,49,40,392,406,408,217,208,197,609,614,605
ZCTA5 01073,01073,162,125,112,540,476,499,98,139,124,800,740,735,1518,1756,1729,2318,2496,2464
ZCTA5 01074,01074,29,29,29,82,151,144,0,0,0,111,180,173,46,0,58,157,180,231
ZCTA5 01075,01075,252,296,290,1568,1449,1365,180,192,160,2000,1937,1815,5328,5379,5431,7328,7316,7246
ZCTA5 01077,01077,297,265,255,1307,1484,1417,96,40,29,1700,1789,1701,1948,1902,2109,3648,3691,3810
ZCTA5 01079,01079,0,0,0,161,153,81,0,0,0,161,153,81,76,109,57,237,262,138
ZCTA5 01080,01080,141,90,113,448,573,541,27,0,0,616,663,654,279,326,353,895,989,1007
ZCTA5 01081,01081,119,122,121,351,389,383,27,9,10,497,520,514,211,172,164,708,692,678
ZCTA5 01082,01082,468,421,475,2275,2428,2309,183,153,160,2926,3002,2944,1763,1841,1703,4689,4843,4647
ZCTA5 01083,01083,36,23,110,338,302,291,25,0,0,399,325,401,535,578,707,934,903,1108
ZCTA5 01084,01084,10,4,7,31,32,27,3,4,0,44,40,34,0,10,16,44,50,50
ZCTA5 01085,01085,972,875,1029,3811,3989,3834,227,204,198,5010,5068,5061,10598,10699,10933,15608,15767,15994
ZCTA5 01088,01088,8,8,8,45,69,28,8,7,8,61,84,44,284,306,281,345,390,325
ZCTA5 01089,01089,358,253,229,1162,1240,1245,168,69,52,1688,1562,1526,11046,11129,11072,12734,12691,12598
ZCTA5 01092,01092,27,34,0,110,185,132,0,0,0,137,219,132,395,399,452,532,618,584
ZCTA5 01093,01093,0,8,8,57,56,87,8,0,0,65,64,95,5,5,3,70,69,98
ZCTA5 01094,01094,0,0,0,26,10,14,0,0,0,26,10,14,5,3,2,31,13,16
ZCTA5 01095,01095,245,208,122,1654,1660,1805,109,112,114,2008,1980,2041,3409,3402,3336,5417,5382,5377
ZCTA5 01096,01096,137,153,146,518,533,484,30,34,17,685,720,647,373,387,424,1058,1107,1071
ZCTA5 01097,01097,0,0,0,9,0,0,0,0,0,9,0,0,17,17,14,26,17,14
ZCTA5 01098,01098,36,40,32,195,217,225,24,26,20,255,283,277,255,184,219,510,467,496
ZCTA5 01103,01103,0,0,0,43,41,14,0,0,0,43,41,14,1391,1455,1536,1434,1496,1550
ZCTA5 01104,01104,485,437,441,1143,1072,1075,54,77,89,1682,1586,1605,7526,7517,7239,9208,9103,8844
ZCTA5 01105,01105,0,0,0,191,231,145,0,0,0,191,231,145,5015,4787,4751,5206,5018,4896
ZCTA5 01106,01106,131,149,222,686,707,628,121,143,160,938,999,1010,5077,4977,4878,6015,5976,5888
ZCTA5 01107,01107,29,7,6,314,249,220,0,107,97,343,363,323,3891,3927,3841,4234,4290,4164
ZCTA5 01108,01108,205,136,136,889,893,790,89,23,26,1183,1052,952,9030,9453,9600,10213,10505,10552
ZCTA5 01109,01109,154,87,115,827,917,1054,41,127,98,1022,1131,1267,8484,8492,8479,9506,9623,9746
ZCTA5 01118,01118,195,191,256,916,920,935,50,50,36,1161,1161,1227,4624,4563,4403,5785,5724,5630
ZCTA5 01119,01119,181,156,146,795,898,733,24,40,34,1000,1094,913,4230,4079,4308,5230,5173,5221
ZCTA5 01128,01128,111,123,110,217,205,170,26,26,32,354,354,312,782,748,805,1136,1102,1117
ZCTA5 01129,01129,84,35,53,372,376,360,12,16,15,468,427,428,2055,2234,2154,2523,2661,2582
ZCTA5 01144,01144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 01151,01151,75,55,16,376,406,367,9,10,0,460,471,383,3204,3144,3223,3664,3615,3606
ZCTA5 01201,01201,703,496,349,4093,4111,4215,279,169,136,5075,4776,4700,14877,15098,15499,19952,19874,20199
ZCTA5 01220,01220,126,90,32,1089,1061,1137,49,75,72,1264,1226,1241,2684,2815,2840,3948,4041,4081
ZCTA5 01222,01222,29,6,18,103,124,121,29,21,16,161,151,155,128,87,77,289,238,232
ZCTA5 01223,01223,109,113,115,630,610,574,61,62,62,800,785,751,423,396,450,1223,1181,1201
ZCTA5 01224,01224,13,11,11,37,32,65,0,0,0,50,43,76,30,13,12,80,56,88
ZCTA5 01225,01225,92,77,83,432,562,492,27,28,27,551,667,602,958,880,911,1509,1547,1513
ZCTA5 01226,01226,144,174,166,888,905,840,15,31,37,1047,1110,1043,1860,1774,1788,2907,2884,2831
ZCTA5 01229,01229,0,0,0,17,15,15,3,3,4,20,18,19,68,65,68,88,83,87
ZCTA5 01230,01230,152,159,174,1363,1230,1134,163,130,183,1678,1519,1491,2115,2257,2161,3793,3776,3652
ZCTA5 01235,01235,125,84,106,435,467,479,35,18,18,595,569,603,509,490,466,1104,1059,1069
ZCTA5 01236,01236,34,75,81,296,283,301,3,3,3,333,361,385,371,258,265,704,619,650
ZCTA5 01237,01237,52,56,94,461,469,456,3,4,3,516,529,553,503,513,439,1019,1042,992
ZCTA5 01238,01238,172,202,244,604,545,453,15,2,26,791,749,723,1501,1823,1988,2292,2572,2711
ZCTA5 01240,01240,101,37,26,332,325,369,16,28,43,449,390,438,1709,1849,1851,2158,2239,2289
ZCTA5 01242,01242,0,0,0,15,0,0,0,0,0,15,0,0,78,70,41,93,70,41
ZCTA5 01243,01243,14,7,6,40,37,50,8,9,10,62,53,66,18,19,20,80,72,86
ZCTA5 01244,01244,21,29,41,44,33,24,3,3,10,68,65,75,0,9,37,68,74,112
ZCTA5 01245,01245,21,16,16,183,182,166,11,12,17,215,210,199,140,125,123,355,335,322
ZCTA5 01247,01247,284,214,197,1797,1889,1813,103,122,104,2184,2225,2114,4343,4558,4609,6527,6783,6723
ZCTA5 01253,01253,68,42,39,183,176,175,11,11,13,262,229,227,172,148,176,434,377,403
ZCTA5 01254,01254,26,22,27,153,163,156,44,48,47,223,233,230,217,207,201,440,440,431
ZCTA5 01255,01255,24,33,37,137,158,131,29,28,30,190,219,198,119,136,137,309,355,335
ZCTA5 01256,01256,57,45,53,161,156,199,35,30,38,253,231,290,77,74,76,330,305,366
ZCTA5 01257,01257,82,70,67,413,402,437,21,37,22,516,509,526,497,502,536,1013,1011,1062
ZCTA5 01258,01258,14,9,6,37,32,37,3,8,10,54,49,53,23,32,32,77,81,85
ZCTA5 01259,01259,27,30,21,164,140,131,20,14,19,211,184,171,81,82,113,292,266,284
ZCTA5 01260,01260,8,9,9,73,0,0,0,0,0,81,9,9,0,0,0,81,9,9
ZCTA5 01262,01262,0,8,11,168,195,225,14,15,8,182,218,244,506,497,418,688,715,662
ZCTA5 01264,01264,11,4,3,37,43,40,2,0,0,50,47,43,50,51,42,100,98,85
ZCTA5 01266,01266,18,22,29,186,216,211,18,13,9,222,251,249,199,205,205,421,456,454
ZCTA5 01267,01267,173,191,147,764,739,689,66,54,80,1003,984,916,1538,1751,1808,2541,2735,2724
ZCTA5 01270,01270,22,28,16,127,148,167,13,18,15,162,194,198,210,204,201,372,398,399
ZCTA5 01301,01301,496,467,550,1964,2036,2092,128,186,135,2588,2689,2777,5602,5536,5514,8190,8225,8291
ZCTA5 01330,01330,101,112,153,273,303,318,38,34,30,412,449,501,292,310,333,704,759,834
