Geographic_Area_Name,zipCode,"Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2023","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2023",Total_Housing_Units!!Occupied_Units!!10_or_more_units_2022,Total_Housing_Units!!Occupied_Units!!10_or_more_units_2023,Total_Housing_Units!!Occupied_Units!!2-9_units_2022,Total_Housing_Units!!Occupied_Units!!2-9_units_2023,"Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2022","Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2023",Total_Housing_Units!!Occupied_Units_2022,Total_Housing_Units!!Occupied_Units_2023,"Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2023","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2023",Total_Housing_Units!!Vacant_Units!!10_or_more_units_2022,Total_Housing_Units!!Vacant_Units!!10_or_more_units_2023,Total_Housing_Units!!Vacant_Units!!2-9_units_2022,Total_Housing_Units!!Vacant_Units!!2-9_units_2023,Total_Housing_Units!!Vacant_Units!!mobile-home_2022,Total_Housing_Units!!Vacant_Units!!mobile-home_2023,Total_Housing_Units!!Vacant_Units_2022,Total_Housing_Units!!Vacant_Units_2023,Total_Housing_Units_2022,Total_Housing_Units_2023
ZCTA5 01001,01001,593,680,3765,3743,871,948,1316,1335,66,107,6611,6813,0,0,74,77,0,0,223,143,0,0,297,220,6908,7033
ZCTA5 01002,01002,351,475,4265,4716,2025,2187,2133,2330,8,7,8782,9715,140,226,397,348,245,182,645,605,12,13,1439,1374,10221,11089
ZCTA5 01003,01003,0,0,15,18,4,12,0,4,0,0,19,34,0,0,0,0,31,14,41,37,0,0,72,51,91,85
ZCTA5 01005,01005,13,43,1427,1312,0,0,140,216,101,117,1681,1688,0,0,135,133,0,0,67,55,0,0,202,188,1883,1876
ZCTA5 01007,01007,156,207,4939,4816,217,201,799,903,335,302,6446,6429,0,0,43,0,0,0,43,49,55,91,141,140,6587,6569
ZCTA5 01008,01008,3,3,496,548,0,0,29,33,3,1,531,585,0,0,85,65,0,0,0,0,5,5,90,70,621,655
ZCTA5 01009,01009,0,0,172,178,11,17,124,172,0,0,307,367,25,0,27,0,0,0,0,0,0,0,52,0,359,367
ZCTA5 01010,01010,9,8,1314,1316,14,14,16,14,127,127,1480,1479,0,0,149,136,0,0,0,28,23,0,172,164,1652,1643
ZCTA5 01011,01011,0,0,434,384,15,6,60,53,3,3,512,446,0,0,146,166,0,10,0,0,0,0,146,176,658,622
ZCTA5 01012,01012,0,0,158,130,10,10,30,24,0,0,198,164,0,0,36,50,0,0,8,0,4,5,48,55,246,219
ZCTA5 01013,01013,485,602,4102,4076,1041,1002,3713,3851,9,18,9350,9549,112,120,235,230,14,26,478,384,0,0,839,760,10189,10309
ZCTA5 01020,01020,625,590,7444,7349,1366,1597,3230,3413,646,629,13311,13578,9,11,283,308,71,28,284,209,18,20,665,576,13976,14154
ZCTA5 01022,01022,622,626,106,133,11,10,338,300,0,0,1077,1069,17,0,0,0,0,0,0,0,0,0,17,0,1094,1069
