Geographic_Area_Name,zipCode,Median_contract_rent(2011,Median_contract_rent(2012,Median_contract_rent(2013,Median_contract_rent(2014,Median_contract_rent(2015,Median_contract_rent(2016,Median_contract_rent(2017,Median_contract_rent(2018,Median_contract_rent(2019,Median_contract_rent(2020,Median_contract_rent(2021,Median_contract_rent(2022,Median_contract_rent(2023
ZCTA5 01001,01001,768,777,802,800,809,835,881,921,1025,1068,1096,1103,1153
ZCTA5 01002,01002,966,993,1038,1026,1036,1108,1170,1232,1280,1159,1190,1349,1392
ZCTA5 01003,01003,-,1673,-,-,1448,1150,-,-,-,-,-,-,2667
ZCTA5 01005,01005,723,622,761,753,777,761,777,819,831,714,-,679,1326
ZCTA5 01007,01007,662,758,743,755,778,787,831,874,909,867,995,999,1071
ZCTA5 01008,01008,675,-,240,625,,-,-,1219,-,-,710,805,819
ZCTA5 01009,01009,754,735,807,807,681,-,-,-,-,-,-,941,968
ZCTA5 01010,01010,847,812,685,615,668,720,730,808,703,721,705,755,586
ZCTA5 01011,01011,662,538,704,709,676,678,725,750,753,788,797,860,856
ZCTA5 01012,01012,813,794,791,750,743,739,963,920,950,907,957,1019,797
ZCTA5 01013,01013,619,646,689,730,731,744,750,767,754,771,806,878,873
ZCTA5 01020,01020,676,685,699,710,718,737,782,807,834,857,899,956,1053
ZCTA5 01022,01022,1403,1492,1514,1713,1363,1266,1211,1140,1365,1520,1504,1620,1863
ZCTA5 01026,01026,582,567,650,700,643,625,681,663,663,786,824,880,792
ZCTA5 01027,01027,686,711,725,747,785,807,827,865,877,876,915,1014,1005
ZCTA5 01028,01028,503,610,826,678,675,746,773,772,782,850,855,1116,1131
ZCTA5 01029,01029,-,-,-,541,554,564,550,560,-,1603,-,-,-
ZCTA5 01030,01030,713,728,711,741,749,739,705,810,826,860,966,1038,1038
ZCTA5 01031,01031,624,592,588,599,598,642,667,693,734,785,793,862,866
ZCTA5 01032,01032,1017,791,1007,1051,1125,1205,1188,838,881,850,950,-,950
ZCTA5 01033,01033,670,671,670,718,592,636,714,714,716,741,793,840,-
ZCTA5 01034,01034,767,808,722,741,747,728,913,1188,1125,1279,1528,1517,1347
ZCTA5 01035,01035,788,713,834,875,1004,1004,1022,1094,1165,1123,1171,1518,1612
ZCTA5 01036,01036,720,702,592,763,755,759,769,774,788,908,1530,1250,1134
ZCTA5 01037,01037,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01038,01038,673,694,822,806,853,906,959,958,940,971,1050,1177,1230
ZCTA5 01039,01039,658,649,677,816,868,833,873,925,1027,1250,1146,1500,1275
ZCTA5 01040,01040,572,552,544,600,611,652,686,723,740,760,799,841,880
ZCTA5 01050,01050,531,559,565,529,638,770,780,769,791,804,813,792,1036
ZCTA5 01053,01053,639,634,632,784,,-,1413,1014,959,995,999,1166,1557
ZCTA5 01054,01054,866,871,880,858,871,871,942,950,1139,1420,1194,1100,1065
ZCTA5 01056,01056,720,706,712,734,758,753,757,780,825,825,899,994,1028
ZCTA5 01057,01057,603,702,708,711,707,718,660,691,722,729,697,691,719
ZCTA5 01060,01060,807,861,905,930,932,942,1014,1057,1114,1135,1214,1251,1280
ZCTA5 01062,01062,757,769,834,811,817,819,844,840,836,882,936,957,941
ZCTA5 01063,01063,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01066,01066,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01068,01068,632,613,650,775,813,940,956,983,942,950,1018,1118,979
ZCTA5 01069,01069,558,588,634,583,595,562,633,739,806,763,810,787,743
ZCTA5 01070,01070,760,525,567,563,550,583,800,638,631,631,637,673,735
ZCTA5 01071,01071,832,828,815,835,717,741,715,778,788,782,803,876,867
ZCTA5 01072,01072,913,953,977,1000,1049,1063,1182,1266,1179,1139,1095,1101,1094
ZCTA5 01073,01073,882,889,948,845,856,855,845,861,705,731,760,-,691
ZCTA5 01074,01074,649,648,-,-,-,-,767,765,-,-,721,904,873
ZCTA5 01075,01075,708,688,732,803,815,841,870,895,874,846,911,1073,1160
ZCTA5 01077,01077,713,755,766,771,817,826,861,876,919,844,919,933,1058
ZCTA5 01079,01079,830,769,641,828,1064,1073,1072,1023,1107,-,-,722,-
ZCTA5 01080,01080,670,622,650,703,706,689,740,759,786,840,918,1059,1049
ZCTA5 01081,01081,538,534,566,725,641,663,702,642,623,706,767,917,732
ZCTA5 01082,01082,597,595,595,636,648,630,689,767,777,722,727,817,786
ZCTA5 01083,01083,570,555,670,665,670,640,639,493,640,642,711,845,687
ZCTA5 01084,01084,100-,100-,-,-,-,-,-,-,983,950,-,-,-
ZCTA5 01085,01085,716,713,735,740,774,795,827,838,842,836,864,917,943
ZCTA5 01086,01086,-,-,-,-,-,-,-,-,-,-,,,
ZCTA5 01088,01088,530,523,525,538,542,946,950,897,887,738,790,-,-
ZCTA5 01089,01089,697,696,724,742,758,756,768,794,799,822,862,945,1000
ZCTA5 01092,01092,616,763,574,538,539,334,368,659,679,633,646,771,738
ZCTA5 01093,01093,1375,1333,1750,950,950,-,-,-,-,-,-,-,-
ZCTA5 01094,01094,219,247,361,417,417,419,-,331,339,368,-,-,-
ZCTA5 01095,01095,653,673,647,631,659,618,634,629,569,576,625,670,728
ZCTA5 01096,01096,667,645,670,722,735,735,861,894,909,929,1014,1065,989
ZCTA5 01097,01097,-,767,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01098,01098,509,535,575,558,632,631,626,612,639,663,665,533,583
ZCTA5 01103,01103,694,695,706,742,759,771,800,790,819,744,901,933,956
ZCTA5 01104,01104,538,545,578,631,645,640,646,643,638,706,696,740,748
ZCTA5 01105,01105,552,575,602,595,616,627,623,601,623,676,754,829,871
ZCTA5 01106,01106,1081,1142,1305,1367,1374,1165,1310,1299,1299,1441,1665,1641,1683
ZCTA5 01107,01107,431,441,490,520,507,517,535,516,532,518,571,646,777
ZCTA5 01108,01108,706,729,748,760,744,750,751,765,803,828,855,931,984
ZCTA5 01109,01109,653,640,665,675,701,736,761,738,764,739,772,863,914
ZCTA5 01118,01118,562,611,717,761,768,806,802,777,821,837,871,965,1091
ZCTA5 01119,01119,725,735,772,844,832,839,690,703,674,718,837,896,968
ZCTA5 01128,01128,953,1016,-,-,-,-,1341,1315,1256,-,1275,796,-
ZCTA5 01129,01129,741,805,828,785,805,831,814,877,906,980,935,1063,1049
ZCTA5 01144,01144,,,,,,,,,,,-,-,-
ZCTA5 01151,01151,688,676,707,710,689,705,729,768,813,868,914,970,982
ZCTA5 01199,01199,-,-,-,-,-,-,-,-,-,-,,,
ZCTA5 01201,01201,617,628,638,634,657,678,689,722,743,738,783,867,882
ZCTA5 01220,01220,496,525,530,556,539,533,576,618,634,670,690,705,759
ZCTA5 01222,01222,818,734,737,724,741,790,1118,1288,1263,1109,1111,-,-
ZCTA5 01223,01223,763,825,808,940,969,946,1270,638,843,1027,1164,1287,1360
ZCTA5 01224,01224,-,-,375,514,532,536,537,-,-,-,-,-,-
ZCTA5 01225,01225,724,637,642,622,579,703,816,840,894,958,1000,-,729
ZCTA5 01226,01226,678,569,641,621,583,635,707,703,723,791,794,879,807
ZCTA5 01229,01229,667,-,-,-,-,-,-,-,-,-,623,-,-
ZCTA5 01230,01230,739,788,758,793,839,796,796,826,856,848,913,1004,1152
ZCTA5 01235,01235,561,575,585,606,578,600,600,707,647,713,781,830,900
ZCTA5 01236,01236,814,936,922,1051,1097,-,1097,1088,1026,1042,1044,-,-
ZCTA5 01237,01237,532,548,655,840,786,905,786,782,863,1091,808,867,864
ZCTA5 01238,01238,661,679,702,665,659,685,702,732,748,794,798,952,879
ZCTA5 01240,01240,759,758,744,738,744,757,772,873,839,902,921,877,864
ZCTA5 01242,01242,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01243,01243,563,533,519,517,519,-,-,-,-,-,-,-,-
ZCTA5 01244,01244,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01245,01245,963,844,1011,813,905,930,975,978,995,983,-,-,-
ZCTA5 01247,01247,531,548,577,570,557,575,605,619,626,689,703,726,610
ZCTA5 01253,01253,703,708,709,593,758,575,575,558,-,-,-,-,-
ZCTA5 01254,01254,733,540,544,1102,1158,1125,1199,1194,1125,-,-,800,731
ZCTA5 01255,01255,725,625,606,623,646,604,538,625,-,-,1063,983,990
ZCTA5 01256,01256,509,525,531,600,543,548,663,-,543,542,542,800,581
ZCTA5 01257,01257,463,803,820,825,799,812,824,-,902,913,941,1130,1123
ZCTA5 01258,01258,730,729,-,-,-,-,-,-,-,775,-,-,-
ZCTA5 01259,01259,1050,970,957,965,950,950,825,840,864,883,-,-,2614
ZCTA5 01260,01260,1185,1302,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01262,01262,714,738,792,836,841,847,693,691,706,720,814,843,640
ZCTA5 01264,01264,688,683,683,1018,875,875,775,-,-,-,925,-,829
ZCTA5 01266,01266,910,891,988,1150,1349,1398,1438,1443,1438,1303,1571,1429,1224
ZCTA5 01267,01267,718,734,772,768,760,810,787,773,787,873,885,1056,1122
ZCTA5 01270,01270,658,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01301,01301,669,678,692,693,710,713,746,763,797,788,822,903,954
